brand,model,year,categoria_antiguedad
Ford,Ecosport 1.0 Ecoboost Platinum Edition BSIV,2013-01-01,Medio
Maruti,Baleno Zeta 1.2,2017-01-01,Medio
Hyundai,i20 1.2 Asta Option,2017-01-01,Medio
Hyundai,Grand i10 Nios AMT Magna,2020-01-01,Reciente
Honda,Mobilio S i DTEC,2016-01-01,Medio
Maruti,Ciaz ZDi Plus,2016-01-01,Medio
Skoda,Rapid 1.6 MPI Ambition With Alloy Wheel,2015-01-01,Medio
Volkswagen,Ameo 1.5 TDI Highline,2017-01-01,Medio
Maruti,Swift VDI BSIV,2018-01-01,Reciente
Mahindra,Bolero Power Plus Plus AC BSIV PS,2015-01-01,Medio
Skoda,Rapid 1.6 MPI Ambition With Alloy Wheel,2015-01-01,Medio
Maruti,Ertiga ZDI,2013-01-01,Medio
Honda,City i VTEC V,2016-01-01,Medio
Hyundai,Elite i20 Asta Option CVT BSIV,2017-01-01,Medio
Maruti,Ertiga ZXI,2014-01-01,Medio
Ford,Figo Titanium,2020-01-01,Reciente
Mahindra,Scorpio S10 7 Seater,2015-01-01,Medio
Mahindra,TUV 300 T4,2016-01-01,Medio
Maruti,Swift VDI,2016-01-01,Medio
Toyota,Etios 1.4 VXD,2016-01-01,Medio
Maruti,Baleno Zeta 1.2,2019-01-01,Reciente
Maruti,Swift Dzire VDI,2016-01-01,Medio
Mahindra,Bolero Power Plus SLE,2018-01-01,Reciente
Maruti,Swift VDI,2016-01-01,Medio
Toyota,Innova 2.5 V Diesel 8-seater,2010-01-01,Medio
Mahindra,Scorpio S10 7 Seater,2015-01-01,Medio
Mahindra,Bolero Power Plus SLX,2017-01-01,Medio
Maruti,Ciaz ZXi,2016-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Honda,Amaze VX i-VTEC,2018-01-01,Reciente
Maruti,Ertiga VXI,2015-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Mahindra,XUV500 W8 4WD,2012-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Maruti,Swift Dzire ZDI,2015-01-01,Medio
Maruti,Ciaz ZXi,2016-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Hyundai,Elantra CRDi S,2012-01-01,Medio
Maruti,Baleno Alpha 1.2,2017-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Mahindra,XUV500 W6 2WD,2014-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Maruti,Baleno Alpha 1.2,2017-01-01,Medio
Maruti,Swift Dzire AMT VXI,2018-01-01,Reciente
Maruti,Baleno Alpha 1.2,2017-01-01,Medio
Toyota,Etios GD,2016-01-01,Medio
Maruti,Ertiga VXI,2015-01-01,Medio
Ford,Figo Aspire Facelift,2018-01-01,Reciente
Ford,Figo Aspire Facelift,2018-01-01,Reciente
Hyundai,Verna 1.6 CRDi SX,2016-01-01,Medio
Honda,City i VTEC SV,2014-01-01,Medio
Hyundai,i20 1.2 Asta Option,2017-01-01,Medio
Mahindra,Scorpio SLE BS IV,2014-01-01,Medio
Mahindra,Bolero Power Plus SLX,2018-01-01,Reciente
Maruti,Swift Dzire ZXI,2016-01-01,Medio
Mahindra,XUV500 W8 4WD,2012-01-01,Medio
Maruti,Swift VDI BSIV,2016-01-01,Medio
Hyundai,Verna 1.6 SX CRDi (O),2013-01-01,Medio
Maruti,Swift VXI,2020-01-01,Reciente
Maruti,Baleno Alpha 1.2,2017-01-01,Medio
Maruti,Swift VXI,2020-01-01,Reciente
Maruti,Swift Dzire VXI 1.2 BS IV,2018-01-01,Reciente
Mahindra,Thar 4X4,2013-01-01,Medio
Ford,EcoSport 1.5 Diesel Titanium BSIV,2018-01-01,Reciente
Maruti,Swift Dzire ZXI,2015-01-01,Medio
Honda,Amaze S Petrol BSIV,2020-01-01,Reciente
Honda,Jazz 1.2 VX i VTEC,2016-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Honda,Amaze S CVT Petrol,2019-01-01,Reciente
Mahindra,Scorpio 1.99 S10,2016-01-01,Medio
Renault,Duster 85PS Diesel RxL,2017-01-01,Medio
Toyota,Etios VXD,2015-01-01,Medio
Maruti,Baleno Alpha 1.3,2016-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Ford,Ecosport 1.5 DV5 MT Titanium Optional,2014-01-01,Medio
Maruti,Baleno Alpha 1.3,2016-01-01,Medio
Mahindra,XUV500 W8 4WD,2012-01-01,Medio
Maruti,Baleno Delta 1.2,2019-01-01,Reciente
Hyundai,Grand i10 1.2 Kappa Sportz AT,2019-01-01,Reciente
Mahindra,Bolero Power Plus Plus AC BSIV PS,2017-01-01,Medio
Maruti,Baleno Delta Automatic,2018-01-01,Reciente
Hyundai,Verna 1.6 VTVT S,2015-01-01,Medio
Maruti,Baleno Delta 1.2,2018-01-01,Reciente
Hyundai,Grand i10 Nios Sportz,2020-01-01,Reciente
Nissan,Terrano XL 85 PS,2014-01-01,Medio
Maruti,Ertiga VXI,2014-01-01,Medio
Ford,Ecosport 1.5 DV5 MT Titanium,2014-01-01,Medio
Hyundai,Verna 1.6 SX,2012-01-01,Medio
Hyundai,Verna 1.6 SX VTVT (O),2014-01-01,Medio
Honda,City i DTEC VX,2014-01-01,Medio
Honda,Mobilio V i DTEC,2014-01-01,Medio
Hyundai,i20 Magna 1.2,2016-01-01,Medio
Mahindra,Scorpio S4 4WD,2015-01-01,Medio
Maruti,Swift VDI Optional,2017-01-01,Medio
Ford,Figo 1.5 Sports Edition MT,2017-01-01,Medio
Hyundai,Verna 1.6 SX VTVT (O),2014-01-01,Medio
Maruti,Ertiga SHVS VDI,2016-01-01,Medio
Maruti,Ertiga VDI,2015-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Hyundai,i20 Asta Option 1.2,2016-01-01,Medio
Honda,City i DTEC VX,2014-01-01,Medio
Hyundai,i20 Asta Option 1.4 CRDi,2016-01-01,Medio
Renault,Triber RXT BSIV,2019-01-01,Reciente
Mahindra,Xylo D4,2017-01-01,Medio
Hyundai,Verna 1.6 VTVT S,2015-01-01,Medio
Maruti,Swift VXI,2019-01-01,Reciente
Ford,Ecosport 1.5 DV5 MT Titanium,2014-01-01,Medio
Honda,Mobilio V i VTEC,2015-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Honda,City i DTec SV,2014-01-01,Medio
Renault,Duster 85PS Diesel RxZ,2017-01-01,Medio
Maruti,Swift ZXI Plus,2018-01-01,Reciente
Renault,Duster 85PS Diesel RxL Optional,2013-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Hyundai,i20 Asta 1.2,2015-01-01,Medio
Maruti,Swift VDI BSIV,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Mahindra,Scorpio EX,2014-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2018-01-01,Reciente
Hyundai,i20 1.2 Spotz,2017-01-01,Medio
Nissan,Terrano XL 110 PS,2013-01-01,Medio
Mahindra,Bolero B6,2016-01-01,Medio
Mahindra,Xylo E4 BS III,2012-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Honda,BRV i-VTEC V MT,2017-01-01,Medio
Maruti,Swift VDI BSIV,2017-01-01,Medio
Hyundai,i20 Magna 1.2,2016-01-01,Medio
Hyundai,Xcent 1.2 VTVT S,2019-01-01,Reciente
Ford,Figo 1.5D Titanium MT,2017-01-01,Medio
Mahindra,Scorpio VLX 2WD AIRBAG BSIV,2014-01-01,Medio
Maruti,Swift VXI BSIV,2019-01-01,Reciente
Hyundai,Sonata CRDi M/T,2010-01-01,Medio
Mahindra,Scorpio M2DI,2012-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Asta,2019-01-01,Reciente
Mahindra,XUV500 W6 2WD,2014-01-01,Medio
Hyundai,i20 Active 1.2 SX,2016-01-01,Medio
Maruti,Swift ZXI Plus,2018-01-01,Reciente
Mahindra,Thar CRDe AC,2014-01-01,Medio
Honda,Mobilio V i DTEC,2015-01-01,Medio
Maruti,Baleno Zeta 1.3,2016-01-01,Medio
Mahindra,XUV500 W6 2WD,2014-01-01,Medio
Maruti,Ertiga VDI,2012-01-01,Medio
Mahindra,XUV500 W8 2WD,2012-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Nissan,X-Trail SLX MT,2010-01-01,Medio
Skoda,Rapid 1.6 MPI AT Elegance Plus,2015-01-01,Medio
Honda,City i DTec SV,2014-01-01,Medio
Honda,Amaze SX i-VTEC,2016-01-01,Medio
Hyundai,i20 Active 1.2 S,2017-01-01,Medio
Hyundai,i20 Magna 1.2,2016-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Ford,Figo 1.2P Titanium MT,2019-01-01,Reciente
Maruti,Swift Dzire VDI,2017-01-01,Medio
Maruti,Swift VDI,2018-01-01,Reciente
Mahindra,Scorpio S4 4WD,2015-01-01,Medio
Maruti,Swift DDiS VDI,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Nissan,Terrano XL 85 PS,2014-01-01,Medio
Nissan,Sunny XL,2016-01-01,Medio
Mahindra,Scorpio VLX 2WD AIRBAG BSIV,2014-01-01,Medio
Maruti,Swift AMT VXI,2018-01-01,Reciente
Honda,Jazz VX,2018-01-01,Reciente
Hyundai,Xcent 1.1 CRDi SX Option,2016-01-01,Medio
Hyundai,i20 Active 1.2 S,2017-01-01,Medio
Maruti,Swift Dzire VDI,2017-01-01,Medio
Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,2012-01-01,Medio
Volkswagen,Polo 1.5 TDI Highline,2015-01-01,Medio
Honda,City i DTEC VX,2014-01-01,Medio
Ford,Endeavour Titanium 4X2,2011-01-01,Medio
Mahindra,KUV 100 mFALCON G80 K8 5str,2017-01-01,Medio
Ford,Aspire Titanium Diesel BSIV,2016-01-01,Medio
Ford,EcoSport 1.5 TDCi Titanium BSIV,2013-01-01,Medio
Hyundai,Verna 1.6 SX,2012-01-01,Medio
Ford,EcoSport 1.5 TDCi Titanium BSIV,2013-01-01,Medio
Renault,Duster 85PS Diesel RxL Optional,2013-01-01,Medio
Hyundai,Elite i20 Sportz Plus Dual Tone BSIV,2019-01-01,Reciente
Mahindra,Xylo H4,2019-01-01,Reciente
Mahindra,Xylo H4,2019-01-01,Reciente
Skoda,Superb 1.8 TSI,2013-01-01,Medio
Skoda,Rapid 1.5 TDI AT Ambition,2015-01-01,Medio
Skoda,Rapid 1.5 TDI AT Ambition,2015-01-01,Medio
Honda,Jazz 1.5 VX i DTEC,2016-01-01,Medio
Hyundai,Grand i10 Asta Option,2017-01-01,Medio
Maruti,Swift VDI BSIV,2016-01-01,Medio
Hyundai,i20 Active 1.2 S,2017-01-01,Medio
Maruti,Ertiga VXI CNG,2014-01-01,Medio
Nissan,Terrano XE D,2015-01-01,Medio
Maruti,Ignis 1.3 Delta,2018-01-01,Reciente
Maruti,Ignis 1.3 Delta,2018-01-01,Reciente
Toyota,Innova 2.5 GX (Diesel) 8 Seater BS IV,2008-01-01,Antiguo
Volkswagen,Ameo 1.5 TDI Comfortline,2017-01-01,Medio
Maruti,Ertiga VXI CNG,2018-01-01,Reciente
Maruti,Ciaz VXi Plus,2015-01-01,Medio
Honda,Jazz Select Edition,2017-01-01,Medio
Ford,EcoSport 1.5 TDCi Titanium BSIV,2015-01-01,Medio
Maruti,Baleno Delta 1.2,2017-01-01,Medio
Mahindra,Xylo D4,2017-01-01,Medio
Mahindra,Bolero SLX,2016-01-01,Medio
Mahindra,Bolero SLX,2016-01-01,Medio
Ford,Ecosport 1.5 DV5 MT Titanium,2014-01-01,Medio
Maruti,Baleno Zeta 1.2,2016-01-01,Medio
Mahindra,XUV500 W8 2WD,2012-01-01,Medio
Ford,Ecosport 1.5 DV5 MT Titanium,2014-01-01,Medio
Hyundai,i20 Asta Option 1.4 CRDi,2016-01-01,Medio
Volkswagen,Ameo 1.5 TDI Comfortline,2018-01-01,Reciente
Honda,Jazz VX CVT,2016-01-01,Medio
Maruti,Swift VXI,2019-01-01,Reciente
Mahindra,Bolero Power Plus SLX,2016-01-01,Medio
Hyundai,Verna SX Diesel,2013-01-01,Medio
Maruti,Swift Dzire ZDI,2014-01-01,Medio
Mahindra,Thar 4X4,2013-01-01,Medio
Maruti,Swift AMT VXI,2019-01-01,Reciente
Maruti,Swift ZDi BSIV,2015-01-01,Medio
Maruti,Wagon R ZXI 1.2,2019-01-01,Reciente
Maruti,Swift VDI BSIV,2014-01-01,Medio
Hyundai,Grand i10 1.2 CRDi Sportz Option,2017-01-01,Medio
Maruti,Baleno Alpha 1.3,2016-01-01,Medio
Hyundai,Verna 1.6 SX CRDi (O),2012-01-01,Medio
Hyundai,i20 1.2 Spotz,2017-01-01,Medio
Tata,Tiago NRG Petrol,2019-01-01,Reciente
Volkswagen,Ameo 1.5 TDI Highline 16 Alloy,2017-01-01,Medio
Hyundai,Grand i10 1.2 CRDi Sportz Option,2017-01-01,Medio
Honda,City i DTEC SV,2015-01-01,Medio
Mahindra,Jeep CJ 500 DI,2006-01-01,Antiguo
Ford,Figo Aspire 1.5 Ti-VCT Titanium,2017-01-01,Medio
Tata,Tigor 1.2 Revotron XZ Option,2018-01-01,Reciente
Mahindra,Scorpio 1.99 S6 Plus,2017-01-01,Medio
Renault,Duster 85PS Diesel RxL Plus,2013-01-01,Medio
Hyundai,i20 Active 1.2 S,2017-01-01,Medio
Hyundai,i20 Active 1.2 S,2017-01-01,Medio
Tata,Nexon 1.2 Revotron XM,2018-01-01,Reciente
Maruti,Ciaz VDi Option SHVS,2015-01-01,Medio
Maruti,Swift VDI,2016-01-01,Medio
Hyundai,i20 Active 1.2 SX,2015-01-01,Medio
Mahindra,Scorpio VLX 2WD AIRBAG SE BSIV,2012-01-01,Medio
Mahindra,Scorpio VLX 2WD AIRBAG SE BSIV,2012-01-01,Medio
Maruti,Ciaz VDi Option SHVS,2015-01-01,Medio
Honda,City i DTEC V,2014-01-01,Medio
Hyundai,i20 Active S Petrol,2016-01-01,Medio
Maruti,Baleno Alpha 1.2,2019-01-01,Reciente
Maruti,Baleno Alpha 1.2,2019-01-01,Reciente
Mahindra,Scorpio LX BSIV,2014-01-01,Medio
Maruti,Ertiga ZDI,2012-01-01,Medio
Maruti,Ertiga SHVS VDI,2016-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Nissan,Terrano XV Premium 110 PS,2014-01-01,Medio
Hyundai,i20 Active SX Petrol,2016-01-01,Medio
Hyundai,Xcent 1.2 Kappa S,2016-01-01,Medio
Tata,New Safari 4X2,2007-01-01,Antiguo
Mahindra,Scorpio VLX 2WD AIRBAG BSIV,2012-01-01,Medio
Maruti,Swift ZDi,2014-01-01,Medio
Mahindra,Bolero Power Plus SLX,2018-01-01,Reciente
Renault,Duster 85PS Diesel RxE,2014-01-01,Medio
Tata,Tiago NRG Petrol,2019-01-01,Reciente
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Maruti,Baleno Delta Automatic,2018-01-01,Reciente
Maruti,Swift Dzire AMT ZXI,2019-01-01,Reciente
Ford,Ecosport 1.0 Ecoboost Titanium,2014-01-01,Medio
Maruti,Baleno Alpha 1.2,2015-01-01,Medio
Hyundai,i20 Asta Option 1.4 CRDi,2016-01-01,Medio
Maruti,Ciaz VDi,2015-01-01,Medio
Ford,Figo Aspire 1.2 Ti-VCT Trend,2018-01-01,Reciente
Ford,Ecosport 1.5 DV5 MT Titanium,2014-01-01,Medio
Skoda,Superb Elegance 2.0 TDI CR AT,2011-01-01,Medio
Maruti,Swift VXI,2019-01-01,Reciente
Chevrolet,Cruze LTZ,2014-01-01,Medio
Maruti,Swift VVT ZXI,2017-01-01,Medio
Maruti,Ertiga 1.5 VDI,2020-01-01,Reciente
Mahindra,XUV500 W6 2WD,2014-01-01,Medio
Hyundai,i20 Asta 1.4 CRDi,2015-01-01,Medio
Mahindra,Scorpio M2DI,2014-01-01,Medio
Renault,Scala Diesel RxL,2013-01-01,Medio
Maruti,Swift VXI,2019-01-01,Reciente
Maruti,Swift DDiS LDI,2016-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Asta,2017-01-01,Medio
Maruti,Baleno Delta 1.2,2018-01-01,Reciente
Hyundai,Grand i10 Asta,2017-01-01,Medio
Tata,New Safari 4X4 EX,2012-01-01,Medio
Nissan,Terrano XL Plus 85 PS,2014-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Toyota,Corolla Altis Diesel D4DGL,2011-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2019-01-01,Reciente
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Hyundai,Grand i10 Asta,2017-01-01,Medio
Ford,Endeavour 2.5L 4X2 MT,2011-01-01,Medio
Hyundai,Verna 1.6 SX CRDi (O),2013-01-01,Medio
Maruti,Swift Dzire VDI,2015-01-01,Medio
Maruti,Swift DDiS LDI,2016-01-01,Medio
Tata,Safari Storme EX,2014-01-01,Medio
Hyundai,Verna 1.6 SX CRDi (O),2014-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Maruti,Baleno Delta 1.2,2018-01-01,Reciente
Hyundai,Verna 1.6 SX VTVT,2014-01-01,Medio
Hyundai,Verna SX Diesel,2013-01-01,Medio
Maruti,Swift Dzire LDI,2018-01-01,Reciente
Hyundai,Elite i20 Petrol Magna Exective,2018-01-01,Reciente
Honda,Amaze VX O iDTEC,2017-01-01,Medio
Toyota,Innova 2.0 GX 8 STR BSIV,2011-01-01,Medio
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2015-01-01,Medio
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2014-01-01,Medio
Hyundai,Elite i20 Sportz Plus BSIV,2015-01-01,Medio
Honda,Mobilio S i VTEC,2015-01-01,Medio
Mahindra,Scorpio EX,2012-01-01,Medio
Tata,New Safari 4X2,2007-01-01,Antiguo
Honda,Amaze VX O iDTEC,2017-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Hyundai,Verna 1.4 CRDi,2014-01-01,Medio
Mahindra,Scorpio SLE BSIII,2009-01-01,Antiguo
Hyundai,i20 Active SX Petrol,2016-01-01,Medio
Ford,Fiesta Titanium 1.5 TDCi,2011-01-01,Medio
Toyota,Innova 2.5 V Diesel 7-seater,2009-01-01,Antiguo
Ford,Fiesta Titanium 1.5 TDCi,2011-01-01,Medio
Maruti,Ciaz ZDi,2014-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Sportz AT,2018-01-01,Reciente
Hyundai,Grand i10 Asta,2016-01-01,Medio
Renault,Scala Diesel RxL,2013-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Mahindra,Bolero 2011-2019 SLX 2WD BSIII,2013-01-01,Medio
Maruti,Baleno RS 1.0 Petrol,2018-01-01,Reciente
Ford,Figo Aspire 1.5 TDCi Ambiente ABS,2017-01-01,Medio
Hyundai,Verna 1.6 SX CRDi (O),2012-01-01,Medio
Mahindra,Bolero 2011-2019 SLX,2015-01-01,Medio
Ford,Ecosport 1.5 DV5 MT Titanium,2015-01-01,Medio
Honda,Amaze VX O iDTEC,2017-01-01,Medio
Ford,Aspire Titanium Plus BSIV,2015-01-01,Medio
Renault,Duster RXL AWD,2014-01-01,Medio
Mahindra,XUV500 W8 2WD,2013-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Maruti,Swift ZXi BSIV,2017-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone,2018-01-01,Reciente
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna AT,2017-01-01,Medio
Maruti,Swift VDI BSIV,2015-01-01,Medio
Maruti,Ertiga VDI,2012-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2019-01-01,Reciente
Hyundai,i20 Active 1.2 SX,2018-01-01,Reciente
Maruti,Ciaz VXi,2015-01-01,Medio
Maruti,Swift ZXI Plus,2020-01-01,Reciente
Mahindra,Scorpio SLE BSIV,2012-01-01,Medio
Mahindra,XUV500 W6 2WD,2012-01-01,Medio
Maruti,Swift VXI,2018-01-01,Reciente
Renault,Duster 85PS Diesel RxL Optional,2013-01-01,Medio
Maruti,Swift VXI,2019-01-01,Reciente
Mahindra,Scorpio SLE BSIV,2014-01-01,Medio
Hyundai,i20 Asta 1.4 CRDi,2015-01-01,Medio
Hyundai,Xcent 1.2 Kappa S,2016-01-01,Medio
Maruti,Baleno Zeta 1.2,2017-01-01,Medio
Fiat,Linea 1.3 Multijet Emotion,2015-01-01,Medio
Ford,Figo 1.5D Trend MT,2017-01-01,Medio
Hyundai,Elite i20 Magna Plus BSIV,2020-01-01,Reciente
Hyundai,Grand i10 1.2 Kappa Magna BSIV,2020-01-01,Reciente
Maruti,Swift Dzire LDI,2018-01-01,Reciente
Renault,KWID Climber 1.0 MT Opt BSIV,2020-01-01,Reciente
Maruti,Swift VXI,2018-01-01,Reciente
Maruti,Swift VDI BSIV,2014-01-01,Medio
Hyundai,Grand i10 Asta Option,2017-01-01,Medio
Maruti,Swift Dzire VDI,2016-01-01,Medio
Hyundai,i20 1.2 Magna Executive,2017-01-01,Medio
Hyundai,i20 Magna 1.2,2015-01-01,Medio
Honda,Jazz 1.2 V i VTEC,2016-01-01,Medio
Hyundai,Grand i10 Asta Option,2017-01-01,Medio
Mahindra,TUV 300 T6 Plus,2015-01-01,Medio
Hyundai,i20 Magna 1.2,2015-01-01,Medio
Tata,Tiago 1.2 Revotron XZ,2019-01-01,Reciente
Tata,Tiago 1.2 Revotron XZ,2018-01-01,Reciente
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,i20 Active S Petrol,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Maruti,Swift Dzire VDI,2015-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Volkswagen,Vento 1.5 TDI Highline,2015-01-01,Medio
Maruti,Ertiga VDI Limited Edition,2014-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,i20 1.2 Magna Executive,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Ford,Figo Aspire 1.2 Ti-VCT Trend,2017-01-01,Medio
Hyundai,Verna 1.6 SX VTVT (O),2013-01-01,Medio
Hyundai,i20 Asta 1.4 CRDi,2015-01-01,Medio
Nissan,Terrano XL Plus 85 PS,2015-01-01,Medio
Nissan,Terrano XL Plus 85 PS,2015-01-01,Medio
Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus,2015-01-01,Medio
Honda,City i VTEC V,2014-01-01,Medio
Ford,EcoSport 1.5 TDCi Titanium BSIV,2015-01-01,Medio
Ford,Figo Aspire 1.5 TDCi Titanium,2020-01-01,Reciente
Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus,2015-01-01,Medio
Maruti,Swift Dzire VDI,2015-01-01,Medio
Ford,Figo Aspire 1.2 Ti-VCT Trend,2017-01-01,Medio
Hyundai,Verna 1.6 VTVT S,2017-01-01,Medio
Maruti,Ertiga VXI CNG,2013-01-01,Medio
Maruti,Swift Dzire VDI,2013-01-01,Medio
Nissan,Terrano XL 85 PS,2016-01-01,Medio
Hyundai,Grand i10 Asta Option AT,2017-01-01,Medio
Toyota,Etios GD,2014-01-01,Medio
Maruti,Swift VXi BSIV,2017-01-01,Medio
Volkswagen,Vento 1.5 TDI Highline,2015-01-01,Medio
Volkswagen,Vento 1.5 TDI Highline,2013-01-01,Medio
Hyundai,Grand i10 1.2 Kappa Magna BSIV,2019-01-01,Reciente
Ford,Ecosport 1.5 DV5 MT Titanium,2014-01-01,Medio
Hyundai,i20 2015-2017 Magna 1.2,2015-01-01,Medio
Mahindra,Scorpio SLE BSIV,2012-01-01,Medio
Maruti,Swift Dzire VDI,2013-01-01,Medio
Tata,Tiago XZA AMT,2018-01-01,Reciente
Tata,Tigor 1.2 Revotron XT,2018-01-01,Reciente
Hyundai,Verna 1.6 SX CRDi (O),2013-01-01,Medio
Hyundai,i20 Asta (o),2014-01-01,Medio
Renault,Duster 110PS Diesel RxL,2014-01-01,Medio
Maruti,Ciaz VDi Plus,2015-01-01,Medio
Mitsubishi,Outlander 2.4,2012-01-01,Medio
Renault,Duster 110PS Diesel RxL,2014-01-01,Medio
Hyundai,i20 Asta (o),2014-01-01,Medio
Mahindra,NuvoSport N8,2016-01-01,Medio
Honda,Jazz 1.5 VX i DTEC,2016-01-01,Medio
Ford,Freestyle Titanium Plus Diesel BSIV,2019-01-01,Reciente
Hyundai,Grand i10 1.2 Kappa Sportz Option,2017-01-01,Medio
Maruti,Wagon R VXI AMT1.2BSIV,2017-01-01,Medio
Mahindra,Scorpio VLS AT 2.2 mHAWK,2011-01-01,Medio
Maruti,Swift Dzire VDI,2016-01-01,Medio
Nissan,Terrano XL 85 PS,2016-01-01,Medio
Maruti,Wagon R VXI AMT1.2BSIV,2017-01-01,Medio
Tata,Tiago XZA AMT,2018-01-01,Reciente
Honda,City i DTEC S,2014-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Hyundai,Verna 1.6 SX,2012-01-01,Medio
Honda,City i DTEC S,2014-01-01,Medio
Maruti,Baleno Delta Automatic,2018-01-01,Reciente
Hyundai,Santro Magna CNG BSIV,2019-01-01,Reciente
Toyota,Innova Crysta 2.5 VX BS IV,2011-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Honda,City i DTEC VX,2014-01-01,Medio
Toyota,Innova 2.5 G (Diesel) 8 Seater,2014-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Hyundai,Santro Sportz BSIV,2020-01-01,Reciente
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Maruti,Swift Dzire VDI,2015-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Tata,Zest Revotron 1.2T XMS,2016-01-01,Medio
Honda,City i DTEC S,2014-01-01,Medio
Maruti,Swift ZDi BSIV,2016-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
Hyundai,Grand i10 Magna AT,2017-01-01,Medio
